index;type;number;name;digit1;digit2;dimensions;surface;elevation;lat;lng;reference;region
1;LAD;176;EL ADUAR;10;28;700x30;TIERRA;60 mts.;283428,00S;0601545,00W;25 Km al NW de INTIYACO, Provincia de SANTA FE;DRNE
2;LAD;245;EO. 10 NOVIEMBRE;17;35;1000x30;TIERRA;73 mts.;353448,00S;0622854,00W;2 Km al SSW de CARLOS TEJEDOR, Provincia de BUENOS AIRES;DRCE
3;LAD;380;EA. ALEGRIA;18;36;940x30;TIERRA;72 mts.;255200,00S;0584000,00W;11 Km al E de GRAN GUARDIA, Provincia de FORMOSA;DRNE
4;LAD;451;EA. EL CENCERRO;02;20;1200x30;TIERRA;50 mts.;303200,00S;0602600,00W;5 Km al NE de MARCELINO ESCALADA, Provincia de SANTA FE;DRCE
5;LAD;496;EA. EL PINOCHO;02;20;930x40;TIERRA;17 mts.;323400,00S;0583100,00W;15 Km al NE de ALDEA SAN ANTONIO, Provincia de ENTRE RÍOS;DRCE
6;LAD;513;EA. EL REY;09;27;800x80;TIERRA;733 mts.;244700,00S;0643200,00W;36 Km al W de LAS LAJITAS, Provincia de SALTA;DRNO
7;LAD;529;EA. ITA-CAABO;01;19;1000x40;TIERRA;80 mts.;291723,00S;0574336,00W;36 Km al ESE de MERCEDES, Provincia de CORRIENTES;DRNE
8;LAD;576;EA. LA DOMINGA;18;36;800x25;TIERRA;25 mts.;303653,00S;0595717,00W;12 Km al SW de SAN JAVIER, Provincia de SANTA FE;DRCE
9;LAD;578;EA. LA ELISA;18;36;1200x40;TIERRA;47 mts.;340500,00S;0594700,00W;15 Km al N de CAPITAN SARMIENTO, Provincia de BUENOS AIRES;DRCE
10;LAD;659;NUEVA CASTILLA;14;32;840x40;TIERRA;98 mts.;360300,00S;0630200,00W;15 Km al NNW de MARI LAUQUEN, Provincia de BUENOS AIRES;DRCE
11;LAD;682;EA. LA ROSA;18;36;1500x25;TIERRA;52 mts.;303935,00S;0603341,00W;5 Km al W de RAMALLON, Provincia de SANTA FE;DRCE
12;LAD;723;EA. LAS TRES MARIAS-CORRIENTES;18;36;900x30;TIERRA;61 mts.;274300,00S;0584700,00W;3 Km al S de EL SOMBRERO, Provincia de CORRIENTES;DRNE
13;LAD;750;EA. LOS LEONES;01;19;1000x35;TIERRA;38 mts.;311000,00S;0604300,00W;2 Km al E de LLAMBI CAMBEL, Provincia de SANTA FE;DRCE
14;LAD;761;EA. LOS TAMBOS;02;20;1000x30;TIERRA;99 mts.;360800,00S;0613000,00W;9 Km al W de HERRERA VEGAS, Provincia de BUENOS AIRES;DRCE
15;LAD;778;EA. MONTE DINERO;927;1,836;"1000x30
950x20";TIERRA;81 mts.;521800,00S;0683200,00W;91 Km al SSE de RÍO GALLEGOS, Provincia de SANTA CRUZ;DRSU
16;LAD;829;EA. SAN JOAQUIN;01;19;900x40;TIERRA;23 mts.;304519,00S;0595951,00W;21 Km al S de SAN JAVIER, Provincia de SANTA FE;DRCE
17;LAD;938;EA. TREBOLARES;18;36;1250x35;TIERRA;115 mts.;353800,00S;0633000,00W;20 Km al W de GRAL PICO, Provincia de LA PAMPA;DRCE
18;LAD;973;FRIGORIFICO SANTA ELENA;14;32;1300x50;TIERRA;60 mts.;305900,00S;0594600,00W;6 Km al SSE de SANTA ELENA, Provincia de ENTRE RÍOS;DRCE
19;LAD;1025;INGENIO SAN MARTIN TABACAL;12;30;1550x30;TIERRA;300 mts.;231600,00S;0641200,00W;2 Km al SW de EST TABACAL, Provincia de SALTA;DRNO
20;LAD;1063;LA CALEDONIA;02;20;1200x30;TIERRA;109 mts.;320808,00S;0615340,00W;8 Km al E de PIAMONTE, Provincia de SANTA FE;DRNO
21;LAD;1079;EA. LA FLECHA;03;21;1800x25;TIERRA;62 mts.;274200,00S;0575530,00W;4 Km al N de LOMAS DE VALLEJOS, Provincia de CORRIENTES;DRNE
22;LAD;1107;LA MIREYA;04;22;1000x50;TIERRA;42 mts.;284420,00S;0592623,00W;5 Km al E de ARROYO CEIBAL, Provincia de SANTA FE;DRNE
